Element	NodeA	NodeB	NodeC	NodeD
1	12	13	1	23
2	13	14	2	1
3	14	15	3	2
4	15	16	4	3
5	16	17	5	4
6	17	18	6	5
7	18	19	7	6
8	19	20	8	7
9	20	21	9	8
10	21	22	24	9
11	23	1	10	25
12	1	2	11	10
13	2	3	12	11
14	3	4	13	12
15	4	5	14	13
16	5	6	15	14
17	6	7	16	15
18	7	8	17	16
19	8	9	18	17
20	9	24	26	18
21	25	10	19	27
22	10	11	20	19
23	11	12	21	20
24	12	13	22	21
25	13	14	23	22
26	14	15	24	23
27	15	16	25	24
28	16	17	26	25
29	17	18	27	26
30	18	26	28	27
31	27	19	28	29
32	19	20	29	28
33	20	21	30	29
34	21	22	31	30
35	22	23	32	31
36	23	24	33	32
37	24	25	34	33
38	25	26	35	34
39	26	27	36	35
40	27	28	30	36
41	29	28	37	31
42	28	29	38	37
43	29	30	39	38
44	30	31	40	39
45	31	32	41	40
46	32	33	42	41
47	33	34	43	42
48	34	35	44	43
49	35	36	45	44
50	36	30	32	45
51	31	37	46	33
52	37	38	47	46
53	38	39	48	47
54	39	40	49	48
55	40	41	50	49
56	41	42	51	50
57	42	43	52	51
58	43	44	53	52
59	44	45	54	53
60	45	32	34	54
61	33	46	55	35
62	46	47	56	55
63	47	48	57	56
64	48	49	58	57
65	49	50	59	58
66	50	51	60	59
67	51	52	61	60
68	52	53	62	61
69	53	54	63	62
70	54	34	36	63
71	35	55	64	37
72	55	56	65	64
73	56	57	66	65
74	57	58	67	66
75	58	59	68	67
76	59	60	69	68
77	60	61	70	69
78	61	62	71	70
79	62	63	72	71
80	63	36	38	72
81	37	64	73	39
82	64	65	74	73
83	65	66	75	74
84	66	67	76	75
85	67	68	77	76
86	68	69	78	77
87	69	70	79	78
88	70	71	80	79
89	71	72	81	80
90	72	38	40	81
91	39	73	42	41
92	73	74	43	42
93	74	75	44	43
94	75	76	45	44
95	76	77	46	45
96	77	78	47	46
97	78	79	48	47
98	79	80	49	48
99	80	81	50	49
100	81	40	51	50
